,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
40,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
41,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
42,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
43,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
44,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(18.439088914585774, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
45,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(2.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
46,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
47,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
48,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
49,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
50,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
51,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
52,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
53,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(3.1622776601683795, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
54,"(0.0, 21.5, 2)","(16.1245154965971, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(20.12461179749811, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,
55,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
56,"(0.0, 21.5, 2)","(4.0, 14.0, 3)","(4.123105625617661, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(22.090722034374522, 33.5, 7)","(0.0, 53.0, 8)","(21.095023109728988, 30.0, 9)","(0.0, 41.0, 10)","(0.0, 17.5, 11)","(3.1622776601683795, 7.0, 12)","(0.0, 22.0, 13)","(0.0, 31.5, 14)","(0.0, 52.5, 15)",,
57,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
58,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(16.278820596099706, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
59,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
60,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(24.186773244895647, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
61,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
62,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
63,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
64,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
65,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(13.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
66,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
67,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
68,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
69,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
70,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
71,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
72,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
73,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
74,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
75,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
76,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(4.123105625617661, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
77,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
78,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
79,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
